#	Iteration	TotE	E_KS	E_ee	E_xc	E_xc1	dE
	0	-19.440817045306723 	-18.000000000000000 	-1.874998471663814  	-1.358252314956590  	1.792433741313684   	0.000000000000e+00  
	1	-19.231141308439014 	-17.790324442379550 	-1.874998234112568  	-1.358252137447037  	1.792433505500140   	2.096755576205e-01  
	2	-19.049572243473044 	-17.612690941705917 	-1.869911150269169  	-1.354735190761491  	1.787765039263533   	1.776335006736e-01  
	3	-18.888927285669130 	-17.454691796500779 	-1.866505016325456  	-1.352411533746894  	1.784681060903994   	1.579991452051e-01  
	4	-18.744987439772540 	-17.313006817205387 	-1.863604920850345  	-1.350439283501184  	1.782063581784377   	1.416849792954e-01  
	5	-18.615743630449209 	-17.185776034949690 	-1.861016351138295  	-1.348679955665526  	1.779728711304303   	1.272307822557e-01  
	6	-18.499652369283595 	-17.071495552264032 	-1.858687973293885  	-1.347097709624019  	1.777628865898345   	1.142804826857e-01  
	7	-18.395366651796664 	-16.968840195672009 	-1.856591641653385  	-1.345673258174349  	1.775738443703076   	1.026553565920e-01  
	8	-18.301682942355260 	-16.876624189097345 	-1.854704500120465  	-1.344391030240550  	1.774036777103104   	9.221600657466e-02  
	9	-18.217521537441904 	-16.793783663922984 	-1.853006177129383  	-1.343237163810357  	1.772505467420820   	8.284052517436e-02  
	10	-18.141913115110814 	-16.719363632880448 	-1.851478232971162  	-1.342199114922814  	1.771127865663608   	7.442003104254e-02  
	11	-18.073987297771563 	-16.652506715080982 	-1.850103949912923  	-1.341265512409662  	1.769888879632006   	6.685691779947e-02  
	12	-18.012962491488516 	-16.592443092777174 	-1.848868180784415  	-1.340426054327891  	1.768774836400964   	6.006362230381e-02  
	13	-17.958136789309467 	-16.538481519655686 	-1.847757213796004  	-1.339671415754976  	1.767773359897198   	5.396157312149e-02  
	14	-17.908879815399455 	-16.490001262217838 	-1.846758647329023  	-1.338993163444945  	1.766873257592348   	4.848025743785e-02  
	15	-17.864625409884997 	-16.446444874928783 	-1.845861273680755  	-1.338383676611964  	1.766064415336504   	4.355638728905e-02  
	16	-17.824865066487298 	-16.407311721470990 	-1.845054971427204  	-1.337836073602309  	1.765337700013200   	3.913315345779e-02  
	17	-17.789142044592015 	-16.372152163990254 	-1.844330606090414  	-1.337344144236816  	1.764684869725468   	3.515955748074e-02  
	18	-17.757046085739873 	-16.340562350599431 	-1.843679938746421  	-1.336902287572670  	1.764098491178651   	3.158981339082e-02  
	19	-17.728208671919912 	-16.312179538837597 	-1.843095542164932  	-1.336505454803390  	1.763571863886006   	2.838281176183e-02  
	20	-17.702298769638521 	-16.286677899395592 	-1.842570724044431  	-1.336149096997689  	1.763098950799193   	2.550163944201e-02  
	21	-17.679019009614009 	-16.263764750307892 	-1.842099456890652  	-1.335829117367515  	1.762674314952049   	2.291314908770e-02  
	22	-17.658102257198991 	-16.243177177063824 	-1.841676314085787  	-1.335541827755631  	1.762293061706250   	2.058757324407e-02  
	23	-17.639308533309865 	-16.224678998766365 	-1.841296411698632  	-1.335283909035139  	1.761950786190268   	1.849817829746e-02  
	24	-17.622422249838340 	-16.208058044650617 	-1.840955355600933  	-1.335052375124054  	1.761643525537262   	1.662095411575e-02  
	25	-17.607249727251968 	-16.193123708995625 	-1.840649193469045  	-1.334844540327414  	1.761367715540115   	1.493433565499e-02  
	26	-17.593616965448319 	-16.179704755802632 	-1.840374371273448  	-1.334657989735834  	1.761120151363597   	1.341895319299e-02  
	27	-17.581367641908898 	-16.167647347580118 	-1.840127693877163  	-1.334490552421830  	1.760897951970214   	1.205740822251e-02  
	28	-17.570361313888579 	-16.156813275245394 	-1.839906289390175  	-1.334340277193340  	1.760698527940333   	1.083407233472e-02  
	29	-17.560471803769993 	-16.147078368528970 	-1.839707576949305  	-1.334205410679089  	1.760519552387370   	9.734906716425e-03  
	30	-17.551585748860095 	-16.138331068397481 	-1.839529237616283  	-1.334084377536283  	1.760358934689949   	8.747300131489e-03  
	31	-17.543601298835064 	-16.130471144921223 	-1.839369188111095  	-1.333975762587993  	1.760214796785247   	7.859923476257e-03  
	32	-17.536426945758784 	-16.123408545715588 	-1.839225557117874  	-1.333878294711068  	1.760085451785746   	7.062599205636e-03  
	33	-17.529980473152989 	-16.117062361619798 	-1.839096663924809  	-1.333790832312252  	1.759969384703874   	6.346184095790e-03  
	34	-17.524188011973902 	-16.111359897640476 	-1.838980999175939  	-1.333712350241111  	1.759865235083623   	5.702463979322e-03  
	35	-17.518983192603685 	-16.106235838423441 	-1.838877207535088  	-1.333641928003829  	1.759771781358672   	5.124059217035e-03  
	36	-17.514306383069854 	-16.101631498610416 	-1.838784072077460  	-1.333578739152224  	1.759687926770245   	4.604339813024e-03  
	37	-17.510104004713170 	-16.097494149430545 	-1.838700500242238  	-1.333522041734571  	1.759612686694182   	4.137349179871e-03  
	38	-17.506327917416659 	-16.093776413757983 	-1.838625511193672  	-1.333471169704379  	1.759545177239376   	3.717735672563e-03  
	39	-17.502934867316906 	-16.090435722663546 	-1.838558224453209  	-1.333425525193616  	1.759484604993465   	3.340691094436e-03  
	40	-17.499885990638187 	-16.087433827198513 	-1.838497849677107  	-1.333384571564901  	1.759430257802334   	3.001895465033e-03  
	41	-17.497146367940026 	-16.084736359789314 	-1.838443677466257  	-1.333347827165600  	1.759381496481145   	2.697467409199e-03  
	42	-17.494684623652422 	-16.082312440196553 	-1.838395071106230  	-1.333314859714444  	1.759337747364808   	2.423919592761e-03  
